Date,Time,Step Avg,Ra,Rp,Rq,Rt,Rv
,,µm,µm,µm,µm,µm,µm
R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A
M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A
Always,Always,Always,Always,Always,Always,Always,Always
Always,Always,Always,Always,Always,Always,Always,Always
,,,,,,,
,,,,,,,
Meta Data,Meta Data,Step Height,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Basic Stats

10/30/2019,12:31:08 PM,,,,,,
10/30/2019,12:32:03 PM,,2.37666499471519,13.650524246973,3.11877117819855,35.1436172626133,-21.4930930156403
10/30/2019,12:32:23 PM,,,,,,
10/30/2019,12:32:44 PM,,,,,,
10/30/2019,12:33:00 PM,,2.23236280308109,15.2547601400471,2.98994440638641,28.1105687888374,-12.8558086487904
10/30/2019,12:33:20 PM,,,,,,
10/30/2019,12:45:39 PM,,2.38506718347623,13.9181346655884,3.14054321589426,19.9951043812866,-6.07696971569824
10/30/2019,12:45:59 PM,,,,,,
10/30/2019,12:46:18 PM,,,,,,
10/30/2019,12:46:32 PM,,2.25887491998705,15.2602060449085,3.01105662832807,28.3491441528854,-13.0889381079769
10/30/2019,12:46:52 PM,,,,,,
