Date,Time,Ra,Rp,Rq,Rt,Rv,Rz,RPc
,,µm,µm,µm,µm,µm,µm,1/Millimeter
R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A
M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A
Always,Always,Always,Always,Always,Always,Always,Always,Always
Always,Always,Always,Always,Always,Always,Always,Always,Always
,,,,,,,,
,,,,,,,,
Meta Data,Meta Data,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Basic Stats,Rz Analysis,Stylus Analysis:Average

12/18/2019,11:31:39 AM,0.535087779534241,2.11067696137333,0.633808567784797,4.82690979116535,-2.71623282979202,4.15271888381481,214.866146143074
12/18/2019,11:32:06 AM,,,,,,,
12/18/2019,11:33:31 AM,,,,,,,
12/18/2019,11:34:28 AM,0.529400687109072,1.84597481102371,0.632938046419684,4.39461263249016,-2.54863782146645,4.09209563007259,206.734385153671
12/18/2019,11:35:25 AM,,,,,,,
12/18/2019,11:36:23 AM,0.549211575521874,2.73350935653877,0.664152721809991,5.54539621341705,-2.81188685687828,4.64861839350271,210.174745572264
12/18/2019,11:37:01 AM,0.50388921562451,2.17181482219505,0.60418641607527,5.04282404589271,-2.87100922369766,4.17326446564007,209.184338785093
12/18/2019,11:37:55 AM,,,,,,,
12/18/2019,11:38:52 AM,0.548773600340515,2.45496300586224,0.668838981598271,5.20596053718281,-2.75099753132057,4.94085806969261,210.226872245273
12/18/2019,11:40:03 AM,0.540246543022204,2.19110502881813,0.640574250184243,4.59761514766216,-2.40651011884403,4.2002692431407,210.748138975363
12/18/2019,11:41:06 AM,,,,,,,
12/18/2019,11:42:11 AM,0.591819721421294,2.51761566190624,0.708763172979101,5.40282586404705,-2.88521020214081,4.83509029007435,208.246058670932
