DataFormat,Date,Time,Ra,Rz,ImageHeight,ImageWidth
,,,µm,µm,,
R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A,R: N/A
M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A,M: N/A
Always,Always,Always,Always,Always,Always,Always
Always,Always,Always,Always,Always,Always,Always
,,,,,,
,,,,,,
Meta Data,Meta Data,Meta Data,Stylus Analysis:Average,Stylus Analysis:Average,Meta Data,Meta Data

VCA Data Set,1/9/2020,4:00:04 PM,,,,
,1/9/2020,4:00:43 PM,,,,
,1/9/2020,4:02:22 PM,,,,
,1/9/2020,4:04:05 PM,,,,
,1/9/2020,4:05:41 PM,,,,
,1/9/2020,4:07:23 PM,,,,
