No,X,Y,Laser Energy,XShutter,YShutter,Time,Date
1,30000,30000,(null),14.3,14.3,01:40:31:484,2016/11/18
2,30000,30000,(null),14.3,14.3,01:40:31:734,2016/11/18
3,30000,30000,(null),14.3,14.3,01:40:32:000,2016/11/18
4,30000,30000,(null),14.3,14.3,01:40:35:328,2016/11/18
5,30000,30000,(null),14.3,14.3,01:40:35:578,2016/11/18
6,30000,30000,(null),14.3,14.3,01:40:35:828,2016/11/18
7,30000,30000,(null),14.3,14.3,01:40:39:156,2016/11/18
8,30000,30000,(null),14.3,14.3,01:40:39:406,2016/11/18
9,30000,30000,(null),14.3,14.3,01:40:39:656,2016/11/18
10,30000,30000,(null),14.3,14.3,01:40:43:000,2016/11/18
11,30000,30000,(null),14.3,14.3,01:40:43:250,2016/11/18
12,30000,30000,(null),14.3,14.3,01:40:43:500,2016/11/18
13,30000,30000,(null),14.3,14.3,01:40:46:843,2016/11/18
14,30000,30000,(null),14.3,14.3,01:40:47:093,2016/11/18
15,30000,30000,(null),14.3,14.3,01:40:47:343,2016/11/18
16,30000,30000,(null),14.3,14.3,01:40:50:687,2016/11/18
17,30000,30000,(null),14.3,14.3,01:40:50:937,2016/11/18
18,30000,30000,(null),14.3,14.3,01:40:51:187,2016/11/18
19,30000,30000,(null),14.3,14.3,01:40:54:546,2016/11/18
20,30000,30000,(null),14.3,14.3,01:40:54:796,2016/11/18
21,30000,30000,(null),14.3,14.3,01:40:55:046,2016/11/18
